Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Data Fato;Horário Fato;Município;Situação Veículo;Tipo Veículo;Ano Modelo;Marca / Modelo;Qtde Veículos
2019-001940100-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T00009;CONSUMADO;13/01/2019;23:11:38;ITAUNA;APREENDIDO;AUTOMOVEL;;VW/BRASILIA;1
2019-001948709-001;POLICIA MILITAR;3 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;G01331;CONSUMADO;14/01/2019;00:40:00;LUZ;APREENDIDO;AUTOMOVEL;1999;GM/ASTRA GLS;1
2019-001950673-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;7 CIA PM RV/BPMRV/CPRV;T00008;CONSUMADO;13/01/2019;23:40:00;PARA DE MINAS;APREENDIDO;AUTOMOVEL;;NAO INFORMADO;1
2019-001950918-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;13/01/2019;17:50:00;POMPEU;APREENDIDO;AUTOMOVEL;1986;VW/SANTANA;1
2019-001962323-001;POLICIA MILITAR;INVÁLIDO;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;07:33:22;ITAUNA;APREENDIDO;AUTOMOVEL;1993;FIAT/TEMPRA OURO 16V;1
2019-001962518-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;14/01/2019;07:36:06;PARA DE MINAS;APREENDIDO;AUTOMOVEL;1993;GM/CHEVETTE DL1.6;1
2019-001963763-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;14/01/2019;07:58:18;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2011;YAMAHA/FACTOR YBR125 K;1
2019-001963958-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;14/01/2019;07:55:00;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2015;HONDA/XRE 300;1
2019-001968712-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;T10161;CONSUMADO;14/01/2019;08:45:18;DIVINOPOLIS;APREENDIDO;AUTOMOVEL;1993;FIAT/UNO S 1.5;1
2019-001970709-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;T10161;CONSUMADO;14/01/2019;09:01:25;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2017;YAMAHA/XTZ150 CROSSER E;1
2019-001973637-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;7 CIA PM IND/2 RPM;C01155;CONSUMADO;14/01/2019;09:20:33;ITAUNA;FURTADO;AUTOMOVEL;1969;VW/FUSCA 1300;1
2019-001974302-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;T10161;CONSUMADO;14/01/2019;09:26:22;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2008;HONDA/CG 150 SPORT;1
2019-001976669-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;09:41:34;ITAUNA;APREENDIDO;AUTOMOVEL;2013;FORD/FIESTA 1.6 FLEX;1
2019-001979569-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;09:59:05;ITAUNA;APREENDIDO;AUTOMOVEL;2012;NISSAN/LIVINA 16;1
2019-001985710-001;POLICIA MILITAR;INVÁLIDO;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;10:31:35;ITAUNA;APREENDIDO;AUTOMOVEL;2014;FIAT/PALIO SPORTING 1.6;1
2019-001990907-001;POLICIA MILITAR;INVÁLIDO;60 BPM/7 RPM;C01157;CONSUMADO;14/01/2019;10:47:54;NOVA SERRANA;ROUBADO;MOTOCICLETA;2018;HONDA/CG 160 START;1
2019-001994002-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;11:18:50;ITAUNA;APREENDIDO;AUTOMOVEL;2014;VW/NOVO GOL 1.0 TRACK;1
2019-001997470-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;11:40:26;ITAUNA;APREENDIDO;AUTOMOVEL;2013;FIAT/STRADA WORKING CD;1
2019-002000873-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;10:50:00;ITAUNA;APREENDIDO;AUTOMOVEL;2007;FIAT/PALIO ELX FLEX;1
2019-002006266-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;I04033;CONSUMADO;14/01/2019;12:04:27;DIVINOPOLIS;APREENDIDO;AUTOMOVEL;2004;VW/GOLF 1.6 PLUS;1
2019-002007076-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;14/01/2019;12:54:36;NOVA SERRANA;RECUPERADO;AUTOMOVEL;2006;HONDA/CG 150 TITAN KS;1
2019-002007364-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;14/01/2019;13:06:09;NOVA SERRANA;RECUPERADO;AUTOMOVEL;2014;CHEVROLET/ONIX 1.4MT LTZ;1
2019-002016051-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;10:45:00;PIMENTA;APREENDIDO;MOTOCICLETA;2004;HONDA/CG 150 TITAN ESD;1
2019-002033074-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;14:05:00;SAO GONCALO DO PARA;APREENDIDO;MOTOCICLETA;2010;HONDA/CG 150 FAN ESI;1
2019-002041920-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;C01157;CONSUMADO;14/01/2019;10:20:00;SAO SEBASTIAO DO OESTE;ROUBADO;CAMINHONETE;2013;FIAT/DUCATO MAXICARGO;1
2019-002041920-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;7 CIA PM RV/BPMRV/CPRV;C01157;CONSUMADO;14/01/2019;10:20:00;SAO SEBASTIAO DO OESTE;ROUBADO;CAMINHONETE;2014;FIAT/DUCATO MAXICARGO;1
2019-002041920-002;POLICIA MILITAR;4 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;A16000;CONSUMADO;14/01/2019;12:00:00;PEDRA DO INDAIA;RECUPERADO;UTILITARIO (TIPO DE VEICULO);2013;FIAT/DUCATO MAXICARGO;1
2019-002041920-002;POLICIA MILITAR;4 PEL/107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;A16000;CONSUMADO;14/01/2019;12:00:00;PEDRA DO INDAIA;RECUPERADO;UTILITARIO (TIPO DE VEICULO);2014;FIAT/DUCATO MAXICARGO;1
2019-002054173-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;T10306;CONSUMADO;14/01/2019;16:00:00;PAINEIRAS;APREENDIDO;MOTOCICLETA;2005;HONDA/CG 125 FAN;1
2019-002067486-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;14/01/2019;17:24:49;DIVINOPOLIS;FURTADO;AUTOMOVEL;2010;FIAT/SIENA ELX FLEX;1
2019-002073520-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;I04028;CONSUMADO;14/01/2019;18:22:26;DIVINOPOLIS;APREENDIDO;AUTOMOVEL;2011;VW/GOL 1.6 POWER;1
2019-002079619-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;G01311;CONSUMADO;14/01/2019;18:00:00;CLAUDIO;RECUPERADO;AUTOMOVEL;2015;TOYOTA/COROLLA XEI20FLEX;1
2019-002080548-001;POLICIA MILITAR;2 GP/3 PEL/280 CIA PM/60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;14/01/2019;19:05:05;CONCEICAO DO PARA;FURTADO;MOTOCICLETA;1998;HONDA/CG 125 TITAN;1
2019-002084611-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;I04033;CONSUMADO;14/01/2019;19:36:20;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2008;HONDA/CG 125 FAN;1
2019-002087509-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;I04033;CONSUMADO;14/01/2019;19:58:31;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2004;HONDA/CG 150 TITAN KS;1
2019-002087734-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;20:00:49;ITAUNA;APREENDIDO;MOTOCICLETA;2019;HONDA/CG 160 START;1
2019-002093402-001;POLICIA MILITAR;INVÁLIDO;240 CIA TM/23 BPM/7 RPM;C99000;TENTADO;14/01/2019;20:12:53;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2006;HONDA/CG 150 TITAN ESD;1
2019-002094842-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;20:55:17;ITAUNA;APREENDIDO;MOTOCICLETA;;NAO INFORMADO;1
2019-002097140-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;21:13:49;ITAUNA;APREENDIDO;MOTOCICLETA;2007;HONDA/CG 150 TITAN KS;1
2019-002105619-001;POLICIA MILITAR;2 GP/3 PEL/51 CIA PM/23 BPM/7 RPM;51 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;14/01/2019;22:00:00;ITATIAIUCU;ROUBADO;AUTOMOVEL;2009;VW/GOL 1.0;1
2019-002106078-001;POLICIA MILITAR;141 CIA PM/7 BPM/7 RPM;141 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;22:19:47;ABAETE;APREENDIDO;CAMINHONETE;2006;MMC/L200 4X4 GLS;1
2019-002108471-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;18:30:00;CORREGO FUNDO;APREENDIDO;MOTOCICLETA;2004;HONDA/CG 150 TITAN KS;1
2019-002116424-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;23:43:24;PERDIGAO;APREENDIDO;MOTOCICLETA;2005;HONDA/CG 150 JOB;1
2019-002116662-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;23:46:09;PERDIGAO;APREENDIDO;MOTOCICLETA;2002;HONDA/CG 125 TITAN ES;1
2019-002119757-001;POLICIA MILITAR;60 BPM/7 RPM;60 BPM/7 RPM;C01157;CONSUMADO;14/01/2019;23:18:21;NOVA SERRANA;ROUBADO;AUTOMOVEL;2011;VW/GOL 1.0 GIV;1
2019-002119757-001;POLICIA MILITAR;60 BPM/7 RPM;60 BPM/7 RPM;C01157;CONSUMADO;14/01/2019;23:18:21;NOVA SERRANA;ROUBADO;REBOQUE;2017;R/INAUTICA VIDAL CA;1
2019-002120238-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;14/01/2019;23:14:29;LAGOA DA PRATA;APREENDIDO;MOTONETA;1999;HONDA/C100 BIZ;1
2019-002128093-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;02:27:37;NOVA SERRANA;APREENDIDO;AUTOMOVEL;2016;HYUNDAI/HB20 1.0M COMFOR;1
2019-002143730-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;07:50:57;DIVINOPOLIS;APREENDIDO;AUTOMOVEL;2010;GM/CELTA 4P LIFE;1
2019-002144553-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;08:55:51;ITAUNA;APREENDIDO;AUTOMOVEL;2016;CHEVROLET/COBALT 1.8 LTZ;1
2019-002144763-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;T00008;CONSUMADO;15/01/2019;08:12:27;DIVINOPOLIS;APREENDIDO;AUTOMOVEL;;FIAT/PALIO EX;1
2019-002146490-001;POLICIA MILITAR;60 BPM/7 RPM;280 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;15/01/2019;09:06:11;NOVA SERRANA;RECUPERADO;MOTOCICLETA;2013;HONDA/CG 150 FAN ESI;1
2019-002148012-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;09:20:24;ITAUNA;APREENDIDO;AUTOMOVEL;2014;I/VW GOLF HIGHLINE AA;1
2019-002162740-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;10:43:33;ITAUNA;APREENDIDO;AUTOMOVEL;2008;I/GM CLASSIC LIFE;1
2019-002170508-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;11:30:21;ITAUNA;APREENDIDO;AUTOMOVEL;1978;VW/BRASILIA;1
2019-002183864-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;15/01/2019;13:22:18;SAO GONCALO DO PARA;FURTADO;AUTOMOVEL;1997;FIAT/UNO MILLE SX;1
2019-002197582-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;7 CIA PM RV/BPMRV/CPRV;T10161;CONSUMADO;15/01/2019;09:10:00;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2009;YAMAHA/FACTOR YBR125 K;1
2019-002200324-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;A16000;CONSUMADO;15/01/2019;14:52:04;DIVINOPOLIS;APREENDIDO;MOTOCICLETA;2013;HONDA/CG150 FAN ESDI;1
2019-002200324-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;A16000;CONSUMADO;15/01/2019;14:52:04;DIVINOPOLIS;RECUPERADO;MOTOCICLETA;;HONDA/XRE 300;1
2019-002201855-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;14:58:55;ITAUNA;APREENDIDO;AUTOMOVEL;2014;VW/NOVA SAVEIRO CS;1
2019-002205314-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;7 CIA PM RV/BPMRV/CPRV;T10161;CONSUMADO;15/01/2019;09:40:00;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2010;HONDA/CG 125 FAN KS;1
2019-002208361-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;15:29:07;ITAUNA;APREENDIDO;AUTOMOVEL;1999;GM/ASTRA GL;1
2019-002212539-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;7 CIA PM RV/BPMRV/CPRV;T10161;CONSUMADO;15/01/2019;10:40:00;PARA DE MINAS;APREENDIDO;AUTOMOVEL;1997;GM/CORSA SUPER;1
2019-002220810-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;B01121;TENTADO;15/01/2019;15:43:23;DIVINOPOLIS;APREENDIDO;AUTOMOVEL;2009;FIAT/PALIO FIRE FLEX;1
2019-002226454-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;16:47:02;LAGOA DA PRATA;APREENDIDO;MOTOCICLETA;2006;YAMAHA/XTZ 125K;1
2019-002228544-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;T10309;CONSUMADO;15/01/2019;16:52:40;LAGOA DA PRATA;APREENDIDO;ONIBUS;1983;M.B./M.BENZ LP 1113;1
2019-002233233-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;15/01/2019;16:56:25;DIVINOPOLIS;FURTADO;AUTOMOVEL;2013;CHEVROLET/COBALT 1.8 LTZ;1
2019-002237701-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;15/01/2019;17:47:16;SAO GONCALO DO PARA;RECUPERADO;AUTOMOVEL;2009;FIAT/STILO FLEX DUALOGIC;1
2019-002237701-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;15/01/2019;17:47:16;SAO GONCALO DO PARA;RECUPERADO;AUTOMOVEL;2011;I/GM CAPTIVA SPORT 2.4;1
2019-002237701-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;15/01/2019;17:47:16;SAO GONCALO DO PARA;RECUPERADO;AUTOMOVEL;2012;TOYOTA/COROLLA ALTIS20FX;1
2019-002245344-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;15/01/2019;16:18:28;DIVINOPOLIS;RECUPERADO;MOTOCICLETA;2012;HONDA/XRE 300;1
2019-002245855-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;18:32:20;LAGOA DA PRATA;APREENDIDO;MOTOCICLETA;2010;HONDA/CG150 TITAN MIX ES;1
2019-002249747-001;POLICIA MILITAR;107 CIA PM/7 BPM/7 RPM;107 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;19:00:52;LAGOA DA PRATA;APREENDIDO;AUTOMOVEL;2002;FIAT/UNO MILLE FIRE;1
2019-002250817-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;E08034;CONSUMADO;15/01/2019;15:30:00;POMPEU;APREENDIDO;MOTOCICLETA;2008;YAMAHA/YBR 125K;1
2019-002256240-001;POLICIA MILITAR;INVÁLIDO;50 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;15/01/2019;18:36:41;BOM DESPACHO;FURTADO;AUTOMOVEL;1996;FIAT/UNO MILLE EP;1
2019-002258566-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;15/01/2019;19:52:51;DIVINOPOLIS;ROUBADO;MOTOCICLETA;2012;HONDA/CG 150 TITAN ESD;1
2019-002260070-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;20:15:18;ITAUNA;APREENDIDO;MOTOCICLETA;2017;HONDA/CG 160 FAN ESDI;1
2019-002273943-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;A16000;CONSUMADO;15/01/2019;20:24:17;DIVINOPOLIS;RECUPERADO;AUTOMOVEL;2015;FORD/KA SE 1.0 HA;1
2019-002280001-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;15/01/2019;23:03:27;ITAUNA;ROUBADO;MOTOCICLETA;2018;HONDA/XRE 300;1
2019-002284339-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;15/01/2019;22:02:00;DIVINOPOLIS;ROUBADO;AUTOMOVEL;2011;TOYOTA/COROLLA XEI20FLEX;1
2019-002291644-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;20:45:00;CLAUDIO;APREENDIDO;MOTOCICLETA;2008;HONDA/CG 125 FAN;1
2019-002292692-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;00:31:00;NOVA SERRANA;APREENDIDO;MOTOCICLETA;2004;YAMAHA/YBR 125K;1
2019-002292692-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;00:31:00;NOVA SERRANA;APREENDIDO;MOTOCICLETA;2006;HONDA/CG 125 FAN;1
2019-002294271-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;20:00:00;POMPEU;APREENDIDO;MOTOCICLETA;2012;HONDA/CG 150 FAN ESI;1
2019-002296123-001;POLICIA MILITAR;1 PEL/118 CIA PM/7 BPM/7 RPM;118 CIA PM/7 BPM/7 RPM;T10161;CONSUMADO;15/01/2019;20:35:00;POMPEU;APREENDIDO;MOTOCICLETA;;NAO INFORMADO;1
2019-002302085-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T00008;CONSUMADO;16/01/2019;04:03:24;ITAUNA;APREENDIDO;AUTOMOVEL;;VW/SANTANA;1
2019-002310670-001;POLICIA MILITAR;INVÁLIDO;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;16/01/2019;07:29:14;DIVINOPOLIS;ROUBADO;AUTOMOVEL;2008;HONDA/CIVIC LXS FLEX;1
2019-002313830-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;08:10:00;BAMBUI;APREENDIDO;AUTOMOVEL;2005;FIAT/UNO MILLE FIRE;1
2019-002316468-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;16/01/2019;08:57:10;PARA DE MINAS;APREENDIDO;MOTOCICLETA;2012;HONDA/CG 150 FAN ESI;1
2019-002317566-001;POLICIA MILITAR;60 BPM/7 RPM;60 BPM/7 RPM;C01157;CONSUMADO;16/01/2019;08:54:09;NOVA SERRANA;ROUBADO;MOTOCICLETA;2007;HONDA/CG 150 TITAN KS;1
2019-002317789-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;09:07:14;ITAUNA;APREENDIDO;AUTOMOVEL;1993;VW/GOL GL 1.8;1
2019-002322227-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;09:10:00;BAMBUI;APREENDIDO;AUTOMOVEL;2008;FIAT/SIENA FIRE FLEX;1
2019-002324031-001;POLICIA MILITAR;3 PEL/19 CIA PM IND/7 RPM;19 CIA PM IND/7 RPM;T10161;CONSUMADO;16/01/2019;09:47:11;PARA DE MINAS;APREENDIDO;MOTONETA;2010;HONDA/BIZ 125 KS;1
2019-002325049-001;POLICIA MILITAR;63 BPM/7 RPM;241 CIA PM/63 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;09:20:00;BAMBUI;APREENDIDO;AUTOMOVEL;2000;FIAT/UNO MILLE EX;1
2019-002326385-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;A16000;CONSUMADO;16/01/2019;09:35:26;ARAUJOS;RECUPERADO;AUTOMOVEL;1996;FIAT/UNO MILLE EP;1
2019-002329389-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;10:20:21;ITAUNA;APREENDIDO;AUTOMOVEL;1991;FORD/ESCORT GL;1
2019-002335765-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;16/01/2019;08:30:00;NOVA SERRANA;FURTADO;CAMINHONETE;2017;CHEVROLET/S10 LTZ DD2A;1
2019-002338834-001;POLICIA MILITAR;2 GP/4 PEL/279 CIA PM/60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;16/01/2019;07:29:44;ARAUJOS;FURTADO;CAMINHONETE;1996;FIAT/FIORINO TREKKING;1
2019-002342074-001;POLICIA MILITAR;DESATIVADASRACIONAL SEDE/63 BPM;51 CIA PM/23 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;11:35:36;ITAUNA;APREENDIDO;AUTOMOVEL;2017;JEEP/COMPASS LONGITUDE F;1
2019-002349611-001;POLICIA MILITAR;NAO INFORMADO;50 CIA PM/7 BPM/7 RPM;C01155;CONSUMADO;16/01/2019;10:24:28;BOM DESPACHO;APREENDIDO;AUTOMOVEL;2011;VW/GOL 1.0 GIV;1
2019-002354733-001;POLICIA MILITAR;3 PEL/290 CIA PM/63 BPM/7 RPM;290 CIA PM/63 BPM/7 RPM;C01157;CONSUMADO;16/01/2019;10:30:00;ITAPECERICA;ROUBADO;AUTOMOVEL;2013;YAMAHA/FAZER YS250;1
2019-002369170-001;POLICIA MILITAR;2 PEL/290 CIA PM/63 BPM/7 RPM;63 BPM/7 RPM;I04033;CONSUMADO;16/01/2019;14:49:36;FORMIGA;APREENDIDO;MOTOCICLETA;2005;HONDA/CG 125 FAN;1
2019-002406261-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;C01155;CONSUMADO;16/01/2019;17:41:49;NOVA SERRANA;FURTADO;AUTOMOVEL;2015;FIAT/DOBLO ATTRACTIV 1.4;1
2019-002418329-001;POLICIA MILITAR;60 BPM/7 RPM;279 CIA PM/60 BPM/7 RPM;T10161;CONSUMADO;16/01/2019;18:53:57;PERDIGAO;APREENDIDO;AUTOMOVEL;2004;VW/GOL 1.0;1
