Número REDS;Órgão Unidade Registro;Unidade Área Militar;Unidade Relato Nível 6;Unid Digitação Nível 6;Unid Registro Nível 6;Código Subclasse Nat Principal;Tentado/Consumado Nat Principal;Código Subclasse Nat Sec1;Tentado/Consumado Nat Sec1;Código Subclasse Nat Sec2;Tentado/Consumado Nat Sec2;Código Subclasse Nat Sec3;Tentado/Consumado Nat Sec3;ALVO;Descrição Meio Utilizado;Data Comunicação Fato;Horário Comunicação Fato;Data Fato;Horário Fato;Data Última Atualização;Logradouro Ocorrência - Tipo;Logradouro Ocorrência;Logradouro Ocorrência Não Cadastrado;Logradouro Cruzamento;Logradouro Cruzamento Não Cadastrado;Número Logradouro;Bairro;Bairro Não Cadastrado;Complemento Endereço;Ponto de Referência;Município;Latitude;Longitude;Matrícula Digitador;Matrícula Relator;Qtde Ocorrências
2019-033731582-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;15/07/2019;17:27:00;15/07/2019;17:27:13;17/07/2019;POVOADO;CAMPO ALEGRE;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;FAZENDA SR ARIZIO;;SAO GONCALO DO PARA;-20,03404970;-44,81724270;PM1565795;1565795;1
2019-048726361-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;05/10/2019;14:00:00;05/10/2019;02:00:00;07/10/2019;POVOADO;CAMPO ALEGRE;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;SAO GONCALO DO PARA;-20,03404970;-44,81724270;PM1414556;1414556;1
2019-029969492-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;MEIO DESCONHECIDO;25/06/2019;07:47:00;25/06/2019;07:47:35;27/06/2019;MORRO;AGUDO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;SAO GONCALO DO PARA;-19,92271960;-44,81742600;PM1711233;1711233;1
2019-032278875-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;MEIO DESCONHECIDO;07/07/2019;17:14:00;07/07/2019;17:14:33;09/07/2019;MORRO;AGUDO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;SAO GONCALO DO PARA;-19,92271960;-44,81742600;PM1711233;1711233;1
2019-033558043-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;MEIO DESCONHECIDO;14/07/2019;19:33:00;14/07/2019;19:33:17;16/07/2019;MORRO;AGUDO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;SAO GONCALO DO PARA;-19,92271960;-44,81742600;PM1711233;1711233;1
2019-034060574-001;POLICIA MILITAR;3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ESCALADA;17/07/2019;12:19:00;17/07/2019;12:19:47;20/07/2019;CHACARA;CHAPADA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;CARMO DO CAJURU;-20,08886800;-44,81765260;PM1120096;1120096;1
2019-052334432-001;POLICIA MILITAR;3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;MEIO DESCONHECIDO;25/10/2019;08:39:00;25/10/2019;08:39:11;27/10/2019;CHACARA;CHAPADA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;CARMO DO CAJURU;-20,08886800;-44,81765260;PM1277516;1277516;1
2019-046530886-001;POLICIA MILITAR;INVÁLIDO;139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Veículo;ARMAS DE FOGO;23/09/2019;19:38:00;23/09/2019;18:45:00;25/09/2019;ACESSO RURAL;SECO;PORTO SECO;PREENCHIMENTO OPCIONAL;;0.00000;INVÁLIDO;;;;DIVINOPOLIS;-20,14446980;-44,82302600;PM1543529;1543529;1
2019-046701439-001;POLICIA MILITAR;INVÁLIDO;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;MEIO DESCONHECIDO;24/09/2019;16:51:00;16/08/2019;10:00:00;26/09/2019;RODOVIA;MG 050;;PREENCHIMENTO OPCIONAL;;94;INVÁLIDO;;;;CARMO DO CAJURU;-20,08349390;-44,82372460;PM1341676;1341676;1
2019-040507561-001;POLICIA MILITAR;2 GP/3 PEL/142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;22/08/2019;06:00:00;22/08/2019;03:00:00;24/08/2019;RODOVIA;MG430;;PREENCHIMENTO OPCIONAL;;27.0000;INVÁLIDO;;;;SAO GONCALO DO PARA;-20,08053180;-44,82468690;PM1414556;1414556;1
2019-013001494-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;A80034;CONSUMADO;C99000;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;Comércio;CONHECIMENTO TECNICO ESPECIFICO;20/03/2019;21:06:00;20/03/2019;21:06:52;22/03/2019;RUA;JONAS AZEVEDO MARQUES;;PREENCHIMENTO OPCIONAL;;0;SAVASSI;;;LINHA FERREA DA VLI- KM 753- PATIO ESTAÇÃO HELIO T;DIVINOPOLIS;-20,14416440;-44,82511210;PM1506732;1506732;1
2019-019131371-001;POLICIA MILITAR;3 PEL/139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;C01155;TENTADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ABUSO DE CONFIANCA;24/04/2019;18:45:00;24/04/2019;14:30:00;29/04/2019;POVOADO;TOMBADOURO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;CAPOEIRÃO;CLAUDIO;-20,44397500;-44,82522600;PM1350404;1350404;1
2019-005636704-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;05/02/2019;19:55:00;05/02/2019;19:55:44;07/02/2019;ATERRO;LIXAO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;DIVINOPOLIS;-20,16511180;-44,82549080;PM1132380;1132380;1
2019-022190392-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Veículo;ARMAS DE FOGO;12/05/2019;17:19:00;12/05/2019;17:00:00;14/05/2019;ATERRO;LIXAO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;DIVINOPOLIS;-20,16511180;-44,82549080;PM1135474;1135474;1
2019-032264373-001;POLICIA MILITAR;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Motorista;ARMAS DE FOGO;07/07/2019;15:12:00;07/07/2019;15:12:36;09/07/2019;ATERRO;LIXAO;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;DIVINOPOLIS;-20,16511180;-44,82549080;PM1135474;1135474;1
2019-004441475-001;POLICIA CIVIL;3 PEL/139 CIA PM/23 BPM/7 RPM;NAO INFORMADO;5ª DELEGACIA DE POLICIA CIVIL/CLAUDIO;5ª DELEGACIA DE POLICIA CIVIL/CLAUDIO;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;MEIO DESCONHECIDO;29/01/2019;14:22:00;21/01/2019;14:22:00;10/07/2019;SITIO;RECANTO DAS GARCAS CLO 0650;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;CLAUDIO;-20,43021180;-44,82599780;12658186657;1174250;1
2019-010706199-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARMAS DE FOGO;07/03/2019;14:44:00;07/03/2019;14:44:04;09/03/2019;POVOADO;PASSAGEM;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;DIVINOPOLIS;-20,26024960;-44,82856660;PM1168426;1168426;1
2019-010821516-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARMAS DE FOGO;08/03/2019;10:47:00;07/03/2019;20:30:00;10/03/2019;POVOADO;PASSAGEM;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;DIVINOPOLIS;-20,26024960;-44,82856660;PM1543529;1543529;1
2019-028361187-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;7 CIA PM IND PE/7 RPM;7 CIA PM IND PE/7 RPM;7 CIA PM IND PE/7 RPM;B01121;TENTADO;E03016;CONSUMADO;G01330;CONSUMADO;E01288;CONSUMADO;Diversos;ARMAS DE FOGO;16/06/2019;04:43:00;16/06/2019;02:20:00;17/06/2019;RODOVIA;AMG 0345;;PREENCHIMENTO OPCIONAL;;6;CHACARAS CAMPO GRANDE;;;;DIVINOPOLIS;-20,16464490;-44,82909540;PM1215417;1215417;1
2019-036183316-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;29/07/2019;16:38:00;29/07/2019;16:38:14;31/07/2019;AVENIDA;CONDE KELIDOMIA;;PREENCHIMENTO OPCIONAL;;111;JARDIM FLORAMAR;;;;DIVINOPOLIS;-20,12059350;-44,83012320;PM1277516;1277516;1
2019-044804566-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;A16000;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Veículo;MEIO DESCONHECIDO;14/09/2019;06:31:00;14/09/2019;06:31:28;16/09/2019;AVENIDA;DOUTOR SILVIO CALDAS;;PREENCHIMENTO OPCIONAL;;861;JARDIM DOS CANDIDES;;;;DIVINOPOLIS;-20,12933980;-44,83027200;PM1274497;1274497;1
2019-015317447-001;POLICIA MILITAR;INVÁLIDO;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;INST.CONTUNDENTE/CORTANTE/PERFURANTE (ARMA BR;03/04/2019;06:56:00;03/04/2019;06:56:21;05/04/2019;RUA;PEDRO ALVES;MARIA APARECIDA VILELA;PREENCHIMENTO OPCIONAL;;691.000;JARDIM DOS CANDIDES;JARDIM DOS CANDIDES;;;DIVINOPOLIS;-20,12922160;-44,83138580;PM1167808;1167808;1
2019-002494772-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;139 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;17/01/2019;10:09:00;17/01/2019;10:09:30;19/01/2019;POVOADO;BOA ESPERANCA;;PREENCHIMENTO OPCIONAL;;0;INVÁLIDO;;;;DIVINOPOLIS;-20,22511090;-44,83140000;PM1458900;1458900;1
2019-010717067-001;POLICIA MILITAR;INVÁLIDO;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Diversos;CONHECIMENTO TECNICO ESPECIFICO;07/03/2019;17:52:00;06/03/2019;06:30:00;09/03/2019;RUA;GONCALVES MARTINS;GONCALVES MARTINS;PREENCHIMENTO OPCIONAL;;100.000;JARDIM DOS CANDIDES;;;;DIVINOPOLIS;-20,12718240;-44,83255170;PM1581180;1581180;1
2019-002556960-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Coletivo;ARMAS DE FOGO;17/01/2019;15:28:00;17/01/2019;15:28:05;19/01/2019;ESTRADA;LIGACAO GRAJAU;;PREENCHIMENTO OPCIONAL;;51;INVÁLIDO;;;;DIVINOPOLIS;-20,13695020;-44,83271130;PM1058213;1058213;1
2019-047584337-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;29/09/2019;13:31:00;29/09/2019;13:31:53;01/10/2019;AVENIDA;ANTONIO GONCALVES JUNIOR;;PREENCHIMENTO OPCIONAL;;1090;JARDIM DOS CANDIDES;;;;DIVINOPOLIS;-20,13031350;-44,83290920;PM1058213;1058213;1
2019-037787019-001;POLICIA MILITAR;INVÁLIDO;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;07/08/2019;11:40:00;07/08/2019;11:40:25;09/08/2019;RUA;ITAUNA;TUPINIQUINS;PREENCHIMENTO OPCIONAL;;580.000;JARDIM DOS CANDIDES;JARDIM DOS CANDIDES;;;DIVINOPOLIS;-20,12931210;-44,83330160;PM1412907;1412907;1
2019-012570135-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;MEIO DESCONHECIDO;18/03/2019;15:48:00;18/03/2019;15:48:45;20/03/2019;RUA;WILSON SANTOS;;PREENCHIMENTO OPCIONAL;;801;DISTRITO INDUSTRIAL CEL JOVELINO RABELO;;;;DIVINOPOLIS;-20,11709170;-44,83355700;PM1462308;1462308;1
2019-034649873-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;20/07/2019;16:46:00;20/07/2019;16:46:02;22/07/2019;RUA;TUPINIQUINS;;PREENCHIMENTO OPCIONAL;;491;JARDIM DOS CANDIDES;;;;DIVINOPOLIS;-20,12807060;-44,83386000;PM1564301;1564301;1
2019-004207725-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Transeunte;ARMAS DE FOGO;28/01/2019;06:50:00;28/01/2019;06:50:23;30/01/2019;RUA;MARAJUARAS;;PREENCHIMENTO OPCIONAL;;1051;JARDIM DOS CANDIDES;;bloco 7 apto 14;;DIVINOPOLIS;-20,13612810;-44,83393990;PM1271303;1271303;1
2019-009564955-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Diversos;ARMAS DE FOGO;28/02/2019;20:47:00;28/02/2019;20:47:46;02/03/2019;RUA;MARAJUARAS;;PREENCHIMENTO OPCIONAL;;1051;JARDIM DOS CANDIDES;;;;DIVINOPOLIS;-20,13612810;-44,83393990;PM1456474;1456474;1
2019-014640506-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Taxi;INST.CONTUNDENTE/CORTANTE/PERFURANTE (ARMA BR;30/03/2019;02:15:00;30/03/2019;02:15:34;01/04/2019;RUA;GERALDO TELES DE OLIVEIRA;;PREENCHIMENTO OPCIONAL;;1005;SAO SIMAO;;;;DIVINOPOLIS;-20,14358140;-44,83396030;PM1484351;1484351;1
2019-018638127-001;POLICIA MILITAR;INVÁLIDO;240 CIA TM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;240 CIA TM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Residência;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;22/04/2019;12:41:00;22/04/2019;12:41:47;23/04/2019;RUA;MG 060;NARCISO ALVES FERREIRA;PREENCHIMENTO OPCIONAL;;13.0000;CHACARAS CAMPO GRANDE;;;;DIVINOPOLIS;-20,17125760;-44,83401460;PM1505007;1505007;1
2019-034460056-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ARMAS DE FOGO;19/07/2019;13:35:00;19/07/2019;13:35:40;21/07/2019;RUA;MARIA APARECIDA VILELA;;PREENCHIMENTO OPCIONAL;;461;JARDIM DOS CANDIDES;;;;DIVINOPOLIS;-20,12690360;-44,83402830;PM1385038;1385038;1
2019-001456430-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;165 CIA PM/30 BPM/11 RPM;165 CIA PM/30 BPM/11 RPM;165 CIA PM/30 BPM/11 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Outros;MEIO DESCONHECIDO;10/01/2019;16:50:00;10/01/2019;16:50:24;12/01/2019;RUA;BENEDITO GONCALVES;;PREENCHIMENTO OPCIONAL;;1451;DISTRITO INDUSTRIAL CEL JOVELINO RABELO;;;;DIVINOPOLIS;-20,12058000;-44,83417090;PM1579127;1579127;1
2019-042953203-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;ARROMBAMENTO/ROMPIMENTO DE OBSTACULO;04/09/2019;12:42:00;04/09/2019;12:42:32;06/09/2019;RUA;WILSON SANTOS;;PREENCHIMENTO OPCIONAL;;901;DISTRITO INDUSTRIAL CEL JOVELINO RABELO;;;VIX CALDEIRARIA LTDA.;DIVINOPOLIS;-20,11793540;-44,83442190;PM1201326;1201326;1
2019-027294311-001;POLICIA MILITAR;INVÁLIDO;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Comércio;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);10/06/2019;13:56:00;10/06/2019;13:56:14;12/06/2019;RUA;CAPINOPOLIS;TAPAJOS;PREENCHIMENTO OPCIONAL;;640.000;JARDIM DOS CANDIDES;JARDIM DOS CANDIDES;;;DIVINOPOLIS;-20,12956950;-44,83443920;PM1311430;1311430;1
2019-002444840-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Transeunte;ARMAS DE FOGO;16/01/2019;21:36:00;16/01/2019;21:36:55;18/01/2019;RUA;ANTONIO DELARETTI FILHO;;PREENCHIMENTO OPCIONAL;;1211;DISTRITO INDUSTRIAL CEL JOVELINO RABELO;;;;DIVINOPOLIS;-20,12403980;-44,83473020;PM1571751;1571751;1
2019-002444840-002;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;53 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01157;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Transeunte;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;16/01/2019;21:36:00;16/01/2019;21:36:00;19/01/2019;RUA;ANTONIO DELARETTI FILHO;;PREENCHIMENTO OPCIONAL;;1211;DISTRITO INDUSTRIAL CEL JOVELINO RABELO;;;;DIVINOPOLIS;-20,12403980;-44,83473020;PM1462308;1462308;1
2019-003470874-001;POLICIA MILITAR;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;142 CIA PM/23 BPM/7 RPM;C01155;CONSUMADO;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;7777777;PREENCHIMENTO OPCIONAL;Veículo;MEIO DESCONHECIDO;23/01/2019;11:17:00;23/01/2019;11:17:37;25/01/2019;RUA;LUIZ GUILHERME DA SILVA;;PREENCHIMENTO OPCIONAL;;1001;DISTRITO INDUSTRIAL CEL JOVELINO RABELO;;;;DIVINOPOLIS;-20,11618150;-44,83487540;PM1502855;1619998;1
