Número REDS;Órgão Unidade Registro
2019-002019490-001;POLICIA CIVIL
2019-002025381-001;POLICIA CIVIL
2019-002042727-001;POLICIA MILITAR
2019-002084245-001;POLICIA MILITAR
2019-002093402-001;POLICIA MILITAR
2019-002105619-001;POLICIA MILITAR
2019-002165141-001;POLICIA MILITAR
2019-002171387-001;POLICIA MILITAR
2019-002197526-001;POLICIA MILITAR
2019-002231184-001;POLICIA MILITAR
2019-002265765-001;POLICIA MILITAR
2019-002268546-001;POLICIA MILITAR
2019-002268771-001;POLICIA MILITAR
2019-002274543-001;POLICIA MILITAR
2019-002279273-001;POLICIA MILITAR
2019-002296619-001;POLICIA MILITAR
2019-003891427-001;POLICIA MILITAR
2019-002310235-001;POLICIA MILITAR
2019-002310313-001;POLICIA MILITAR
2019-002310670-001;POLICIA MILITAR
2019-002328211-001;POLICIA MILITAR
2019-002357226-001;POLICIA MILITAR
2019-002371286-001;POLICIA CIVIL
2019-002417703-001;POLICIA MILITAR
2019-002421400-001;POLICIA MILITAR
2019-002426065-001;POLICIA MILITAR
2019-002438815-001;POLICIA MILITAR
2019-002533050-001;POLICIA CIVIL
2019-003309582-001;POLICIA CIVIL
2019-002477433-001;POLICIA MILITAR
2019-002478438-001;POLICIA MILITAR
2019-002517885-001;POLICIA MILITAR
2019-002533091-001;POLICIA MILITAR
2019-002561478-001;POLICIA MILITAR
2019-002574583-001;POLICIA MILITAR
2019-002594910-001;POLICIA MILITAR
2019-002599232-001;POLICIA MILITAR
2019-002605181-001;POLICIA MILITAR
2019-003309814-001;POLICIA CIVIL
2019-002656393-001;POLICIA CIVIL
2019-002658050-001;POLICIA MILITAR
2019-002666044-001;POLICIA CIVIL
2019-002700445-001;POLICIA MILITAR
2019-002700683-001;POLICIA CIVIL
2019-002707174-001;POLICIA MILITAR
2019-002711370-001;POLICIA MILITAR
2019-002720706-001;POLICIA MILITAR
2019-002732598-001;POLICIA MILITAR
2019-002737939-001;POLICIA MILITAR
2019-002753511-001;POLICIA MILITAR
2019-002754820-001;POLICIA MILITAR
2019-002792612-001;POLICIA MILITAR
2019-002809518-001;POLICIA MILITAR
2019-002830777-001;POLICIA MILITAR
2019-002837149-001;POLICIA MILITAR
2019-002841279-001;POLICIA MILITAR
2019-002843960-001;POLICIA MILITAR
2019-002852030-001;POLICIA MILITAR
2019-002859606-001;POLICIA MILITAR
2019-002882093-001;POLICIA MILITAR
2019-002900883-001;POLICIA MILITAR
2019-002907650-001;POLICIA MILITAR
2019-002919219-001;POLICIA MILITAR
2019-002989938-001;POLICIA MILITAR
2019-003440878-001;POLICIA CIVIL
2019-003516427-001;POLICIA CIVIL
2019-002938910-001;POLICIA MILITAR
2019-002962530-001;POLICIA MILITAR
2019-002969482-001;POLICIA MILITAR
2019-003023141-001;POLICIA MILITAR
2019-003033491-001;POLICIA MILITAR
2019-003100773-001;POLICIA MILITAR
2019-003196109-001;POLICIA MILITAR
2019-003078693-001;POLICIA MILITAR
2019-003079369-001;POLICIA MILITAR
2019-003138631-001;POLICIA MILITAR
2019-003151643-001;POLICIA CIVIL
2019-003204869-001;POLICIA MILITAR
2019-003206119-001;POLICIA MILITAR
2019-003210026-001;POLICIA MILITAR
2019-003314858-001;POLICIA MILITAR
2019-003246180-001;POLICIA MILITAR
2019-003288228-001;POLICIA MILITAR
2019-003297692-001;POLICIA CIVIL
2019-003364736-001;POLICIA MILITAR
2019-003375188-001;POLICIA MILITAR
2019-003396900-001;POLICIA MILITAR
2019-003431808-001;POLICIA MILITAR
2019-003454423-001;POLICIA MILITAR
2019-003468232-001;POLICIA MILITAR
2019-003474480-001;POLICIA MILITAR
2019-003478673-001;POLICIA MILITAR
2019-003536729-001;POLICIA MILITAR
2019-003567340-001;POLICIA MILITAR
2019-003780812-001;POLICIA CIVIL
2019-003785802-001;POLICIA CIVIL
2019-003799204-001;POLICIA CIVIL
2019-004408800-001;POLICIA CIVIL
2019-004449218-001;POLICIA CIVIL
2019-005860524-001;POLICIA CIVIL
2019-003586453-001;POLICIA MILITAR
2019-003590674-001;POLICIA MILITAR
2019-003602705-001;POLICIA MILITAR
2019-003603149-001;POLICIA MILITAR
2019-003624759-001;POLICIA MILITAR
2019-003681115-001;POLICIA MILITAR
2019-003747314-001;POLICIA MILITAR
2019-003793630-001;POLICIA CIVIL
2019-003909039-001;POLICIA MILITAR
2019-004210757-001;POLICIA CIVIL
2019-004263786-001;POLICIA CIVIL
2019-004293178-001;POLICIA CIVIL
2019-005395519-001;POLICIA CIVIL
2019-008444480-001;POLICIA CIVIL
2019-003753807-001;POLICIA MILITAR
2019-003766195-001;POLICIA MILITAR
2019-003772318-001;POLICIA MILITAR
2019-003799574-001;POLICIA MILITAR
2019-003800295-001;POLICIA MILITAR
2019-003858392-001;POLICIA MILITAR
2019-003865507-001;POLICIA MILITAR
2019-003880182-001;POLICIA MILITAR
2019-003882019-001;POLICIA MILITAR
2019-003937380-001;POLICIA MILITAR
2019-003939401-001;POLICIA MILITAR
2019-003951001-001;POLICIA MILITAR
2019-003990011-001;POLICIA MILITAR
2019-004033787-001;POLICIA MILITAR
2019-004036815-001;POLICIA MILITAR
2019-004094468-001;POLICIA MILITAR
2019-004582180-001;POLICIA CIVIL
2019-004082801-001;POLICIA MILITAR
2019-004114053-001;POLICIA MILITAR
2019-004130699-001;POLICIA MILITAR
2019-004168923-001;POLICIA MILITAR
2019-004189540-001;POLICIA MILITAR
2019-004221547-001;POLICIA CIVIL
2019-004210469-001;POLICIA MILITAR
2019-004211329-001;POLICIA MILITAR
2019-004319910-001;POLICIA MILITAR
2019-004329881-001;POLICIA MILITAR
2019-004347476-001;POLICIA MILITAR
2019-004402478-001;POLICIA CIVIL
2019-004443314-001;POLICIA MILITAR
2019-004591557-001;POLICIA CIVIL
2019-004794603-001;POLICIA CIVIL
2019-004799060-001;POLICIA CIVIL
2019-004814058-001;POLICIA CIVIL
2019-004370401-001;POLICIA MILITAR
2019-004392496-001;POLICIA MILITAR
2019-004394285-001;POLICIA MILITAR
2019-004395342-001;POLICIA MILITAR
2019-004428617-001;POLICIA MILITAR
2019-004493287-001;POLICIA MILITAR
2019-004495994-001;POLICIA MILITAR
2019-004503782-001;POLICIA MILITAR
2019-004521258-001;POLICIA MILITAR
2019-004548930-001;POLICIA MILITAR
2019-004573436-001;POLICIA CIVIL
2019-006904837-001;POLICIA CIVIL
2019-004563261-001;POLICIA MILITAR
2019-004577278-001;POLICIA MILITAR
2019-004583485-001;POLICIA MILITAR
2019-004585142-001;POLICIA MILITAR
2019-004603932-001;POLICIA MILITAR
2019-004644835-001;POLICIA MILITAR
2019-004653431-001;POLICIA MILITAR
2019-004689987-001;POLICIA MILITAR
2019-004715920-001;POLICIA MILITAR
2019-004747694-001;POLICIA MILITAR
2019-004758638-001;POLICIA CIVIL
2019-004845689-001;POLICIA MILITAR
2019-003967270-001;POLICIA CIVIL
2019-004742886-001;POLICIA MILITAR
2019-004780506-001;POLICIA MILITAR
2019-004781567-001;POLICIA MILITAR
2019-004791703-001;POLICIA MILITAR
2019-004871674-001;POLICIA MILITAR
2019-004890549-001;POLICIA MILITAR
2019-004902504-001;POLICIA MILITAR
2019-004974451-001;POLICIA MILITAR
2019-004976632-001;POLICIA CIVIL
2019-005009220-001;POLICIA MILITAR
2019-005045419-001;POLICIA MILITAR
2019-007081655-001;POLICIA CIVIL
2019-005088652-001;POLICIA MILITAR
2019-005132379-001;POLICIA MILITAR
2019-005164411-001;POLICIA MILITAR
2019-005172957-001;POLICIA MILITAR
2019-005179567-001;POLICIA MILITAR
2019-005418989-001;POLICIA CIVIL
2019-005424161-001;POLICIA CIVIL
2019-005524049-001;POLICIA CIVIL
2019-005538278-001;POLICIA CIVIL
2019-005712495-001;POLICIA CIVIL
2019-005337374-001;POLICIA MILITAR
2019-005342286-001;POLICIA MILITAR
2019-005342505-001;POLICIA MILITAR
2019-005377348-001;POLICIA CIVIL
2019-005430250-001;POLICIA MILITAR
2019-005437095-001;POLICIA MILITAR
2019-005445587-001;POLICIA MILITAR
2019-005451374-001;POLICIA MILITAR
2019-005462816-001;POLICIA MILITAR
2019-005586367-001;POLICIA CIVIL
2019-006109042-001;POLICIA MILITAR
2019-011515599-001;POLICIA CIVIL
2019-005518788-001;POLICIA CIVIL
2019-005529013-001;POLICIA CIVIL
2019-005530438-001;POLICIA MILITAR
2019-005612157-001;POLICIA MILITAR
2019-005623079-001;POLICIA MILITAR
2019-005627218-001;POLICIA MILITAR
2019-005669942-001;POLICIA MILITAR
2019-005716305-001;POLICIA MILITAR
2019-005775329-001;POLICIA MILITAR
2019-005775987-001;POLICIA CIVIL
2019-005791494-001;POLICIA MILITAR
2019-005811760-001;POLICIA MILITAR
2019-005814735-001;POLICIA MILITAR
2019-005818601-001;POLICIA MILITAR
2019-005912366-001;POLICIA CIVIL
2019-006028525-001;POLICIA CIVIL
2019-005848924-001;POLICIA MILITAR
2019-005879925-001;POLICIA MILITAR
2019-005900922-001;POLICIA MILITAR
2019-005933387-001;POLICIA MILITAR
2019-005968304-001;POLICIA MILITAR
2019-005978667-001;POLICIA MILITAR
2019-006023901-001;POLICIA CIVIL
2019-006028252-001;POLICIA CIVIL
2019-006037398-001;POLICIA MILITAR
2019-006549444-001;POLICIA CIVIL
2019-006010837-001;POLICIA MILITAR
2019-006066230-001;POLICIA MILITAR
2019-006103688-001;POLICIA MILITAR
2019-006146160-001;POLICIA MILITAR
2019-006167557-001;POLICIA MILITAR
2019-009252873-001;POLICIA CIVIL
2019-006188998-001;POLICIA MILITAR
2019-006193990-001;POLICIA MILITAR
2019-006195188-001;POLICIA MILITAR
2019-006264378-001;POLICIA MILITAR
2019-006279649-001;POLICIA MILITAR
2019-006283409-001;POLICIA MILITAR
2019-006297497-001;POLICIA MILITAR
2019-006500818-001;POLICIA CIVIL
2019-006527535-001;POLICIA CIVIL
2019-006541303-001;POLICIA CIVIL
2019-006584982-001;POLICIA MILITAR
2019-007954177-001;POLICIA CIVIL
2019-006353320-001;POLICIA MILITAR
2019-006355492-001;POLICIA MILITAR
2019-006370750-001;POLICIA MILITAR
2019-006376312-001;POLICIA MILITAR
2019-006377386-001;POLICIA MILITAR
2019-006394671-001;POLICIA MILITAR
2019-006546770-001;POLICIA CIVIL
2019-006563329-001;POLICIA MILITAR
2019-006591508-001;POLICIA MILITAR
2019-006675802-001;POLICIA CIVIL
2019-006852707-001;POLICIA CIVIL
2019-006467305-001;POLICIA MILITAR
2019-006473839-001;POLICIA MILITAR
2019-006500783-001;POLICIA MILITAR
2019-006529757-001;POLICIA MILITAR
2019-006565490-001;POLICIA MILITAR
2019-006572830-001;POLICIA MILITAR
2019-006677710-001;POLICIA CIVIL
2019-006677777-001;POLICIA CIVIL
2019-006745358-001;POLICIA CIVIL
2019-007031541-001;POLICIA CIVIL
2019-006736883-001;POLICIA MILITAR
2019-006737232-001;POLICIA MILITAR
2019-006785923-001;POLICIA MILITAR
2019-006788156-001;POLICIA MILITAR
2019-006793735-001;POLICIA MILITAR
2019-006794833-001;POLICIA MILITAR
2019-006843578-001;POLICIA MILITAR
2019-006846230-001;POLICIA MILITAR
2019-006866124-001;POLICIA CIVIL
2019-006887474-001;POLICIA MILITAR
2019-006896895-001;POLICIA MILITAR
2019-006938305-001;POLICIA CIVIL
2019-006940646-001;POLICIA MILITAR
2019-006953030-001;POLICIA MILITAR
2019-007116418-001;POLICIA MILITAR
2019-007007239-001;POLICIA MILITAR
2019-007020620-001;POLICIA MILITAR
2019-007041547-001;POLICIA CIVIL
2019-007060058-001;POLICIA MILITAR
2019-007066566-001;POLICIA MILITAR
2019-007073044-001;POLICIA MILITAR
2019-007086513-001;POLICIA CIVIL
2019-007123974-001;POLICIA MILITAR
2019-007164773-001;POLICIA MILITAR
2019-007166378-001;POLICIA MILITAR
2019-007324696-001;POLICIA MILITAR
2019-007459087-001;POLICIA MILITAR
2019-007655417-001;POLICIA CIVIL
2019-007194951-001;POLICIA MILITAR
2019-007216611-001;POLICIA MILITAR
2019-007397657-001;POLICIA CIVIL
2019-007865863-001;POLICIA CIVIL
2019-007394967-001;POLICIA MILITAR
2019-007406493-001;POLICIA MILITAR
2019-007407563-001;POLICIA MILITAR
2019-007471341-001;POLICIA MILITAR
2019-007847179-001;POLICIA CIVIL
2019-007535883-001;POLICIA MILITAR
2019-007590121-001;POLICIA MILITAR
2019-007726738-001;POLICIA CIVIL
2019-007627855-001;POLICIA MILITAR
2019-007640540-001;POLICIA MILITAR
2019-007667950-001;POLICIA CIVIL
2019-007781584-001;POLICIA MILITAR
2019-007786771-001;POLICIA MILITAR
2019-007794122-001;POLICIA MILITAR
2019-007829318-001;POLICIA MILITAR
2019-007833279-001;POLICIA MILITAR
2019-007848039-001;POLICIA MILITAR
2019-007869993-001;POLICIA MILITAR
2019-007912711-001;POLICIA CIVIL
2019-007914749-001;POLICIA MILITAR
2019-007980554-001;POLICIA MILITAR
2019-008026468-001;POLICIA CIVIL
2019-008029985-001;POLICIA CIVIL
2019-009714180-001;POLICIA CIVIL
2019-008045501-001;POLICIA MILITAR
2019-008054318-001;POLICIA MILITAR
2019-008106150-001;POLICIA MILITAR
2019-008113227-001;POLICIA MILITAR
2019-008121866-001;POLICIA MILITAR
2019-008140875-001;POLICIA MILITAR
2019-008152710-001;POLICIA MILITAR
2019-008156878-001;POLICIA MILITAR
2019-008402646-001;POLICIA MILITAR
2019-008233280-001;POLICIA MILITAR
2019-008267257-001;POLICIA MILITAR
2019-008275567-001;POLICIA MILITAR
2019-008279039-001;POLICIA MILITAR
2019-008293086-001;POLICIA MILITAR
2019-008298862-001;POLICIA MILITAR
2019-008301281-001;POLICIA MILITAR
2019-008334764-001;POLICIA MILITAR
2019-008354408-001;POLICIA MILITAR
2019-008373508-001;POLICIA MILITAR
2019-008388183-001;POLICIA MILITAR
2019-008391237-001;POLICIA MILITAR
2019-008401522-001;POLICIA MILITAR
2019-008420832-001;POLICIA MILITAR
2019-008491679-001;POLICIA MILITAR
2019-008522173-001;POLICIA MILITAR
2019-008621360-001;POLICIA MILITAR
2019-008848233-001;POLICIA CIVIL
2019-009058339-001;POLICIA CIVIL
2019-010908030-001;POLICIA MILITAR
2019-011477406-001;POLICIA CIVIL
2019-008578795-001;POLICIA MILITAR
2019-008646376-001;POLICIA MILITAR
2019-008672898-001;POLICIA MILITAR
2019-008679125-001;POLICIA MILITAR
2019-008911166-001;POLICIA CIVIL
2019-009075063-001;POLICIA CIVIL
2019-009498938-001;POLICIA CIVIL
2019-008727608-001;POLICIA MILITAR
2019-008733583-001;POLICIA MILITAR
2019-008771426-001;POLICIA MILITAR
2019-008797465-001;POLICIA MILITAR
2019-008808112-001;POLICIA MILITAR
2019-008841047-001;POLICIA MILITAR
2019-008859519-001;POLICIA CIVIL
2019-008871570-001;POLICIA MILITAR
2019-008887560-001;POLICIA MILITAR
2019-008944467-001;POLICIA MILITAR
2019-008955088-001;POLICIA MILITAR
2019-008955532-001;POLICIA CIVIL
2019-008965105-001;POLICIA MILITAR
2019-008965161-001;POLICIA MILITAR
2019-008987813-001;POLICIA MILITAR
2019-009042442-001;POLICIA MILITAR
2019-009056355-001;POLICIA CIVIL
2019-009236071-001;POLICIA CIVIL
2019-009040233-001;POLICIA MILITAR
2019-009044203-001;POLICIA MILITAR
2019-009058038-001;POLICIA MILITAR
2019-009105585-001;POLICIA MILITAR
2019-009123076-001;POLICIA MILITAR
2019-009129227-001;POLICIA MILITAR
2019-009151647-001;POLICIA MILITAR
2019-009153674-001;POLICIA MILITAR
2019-009154036-001;POLICIA MILITAR
2019-009154588-001;POLICIA MILITAR
2019-009176703-001;POLICIA MILITAR
2019-009192524-001;POLICIA MILITAR
2019-025952574-001;POLICIA CIVIL
2019-009282707-001;POLICIA CIVIL
2019-009293791-001;POLICIA MILITAR
2019-009317990-001;POLICIA MILITAR
2019-009328918-001;POLICIA MILITAR
2019-009345094-001;POLICIA MILITAR
2019-009351875-001;POLICIA MILITAR
2019-009364796-001;POLICIA MILITAR
2019-009374488-001;POLICIA MILITAR
2019-009812672-001;POLICIA MILITAR
2019-013067622-001;POLICIA CIVIL
2019-009409121-001;POLICIA MILITAR
2019-009424838-001;POLICIA MILITAR
2019-009425648-001;POLICIA MILITAR
2019-009466791-001;POLICIA MILITAR
2019-009467062-001;POLICIA MILITAR
2019-009505985-001;POLICIA CIVIL
2019-009552123-001;POLICIA MILITAR
2019-009554975-001;POLICIA MILITAR
2019-009578360-001;POLICIA MILITAR
2019-009625340-001;POLICIA CIVIL
2019-009629677-001;POLICIA MILITAR
2019-010666048-001;POLICIA CIVIL
2019-012028186-001;POLICIA CIVIL
2019-009631910-001;POLICIA CIVIL
2019-009655374-001;POLICIA MILITAR
2019-009660561-001;POLICIA MILITAR
2019-009673244-001;POLICIA MILITAR
2019-009726576-001;POLICIA MILITAR
2019-010668818-001;POLICIA CIVIL
2019-025162986-001;POLICIA CIVIL
2019-009798783-001;POLICIA MILITAR
2019-009803264-001;POLICIA MILITAR
2019-009805915-001;POLICIA MILITAR
2019-009869565-001;POLICIA MILITAR
2019-009879714-001;POLICIA MILITAR
2019-009904096-001;POLICIA MILITAR
2019-009908341-001;POLICIA MILITAR
2019-009913660-001;POLICIA MILITAR
2019-010614396-001;POLICIA CIVIL
2019-009970083-001;POLICIA MILITAR
2019-010068261-001;POLICIA MILITAR
2019-010076099-001;POLICIA MILITAR
2019-010704068-001;POLICIA CIVIL
2019-011274425-001;POLICIA CIVIL
2019-010134840-001;POLICIA MILITAR
2019-010152685-001;POLICIA MILITAR
2019-010156508-001;POLICIA MILITAR
2019-010219168-001;POLICIA MILITAR
2019-015401689-001;POLICIA CIVIL
2019-010392203-001;POLICIA MILITAR
2019-010622611-001;POLICIA CIVIL
2019-010657978-001;POLICIA CIVIL
2019-010857472-001;POLICIA CIVIL
2019-010480233-001;POLICIA MILITAR
2019-010503478-001;POLICIA MILITAR
2019-010536976-001;POLICIA MILITAR
2019-010549410-001;POLICIA MILITAR
2019-010564371-001;POLICIA MILITAR
2019-010611091-001;POLICIA CIVIL
2019-010635298-001;POLICIA CIVIL
2019-011292559-001;POLICIA CIVIL
2019-011350069-001;POLICIA CIVIL
2019-010618758-001;POLICIA CIVIL
2019-010633260-001;POLICIA MILITAR
2019-010657768-001;POLICIA MILITAR
2019-010659018-001;POLICIA MILITAR
2019-010659832-001;POLICIA MILITAR
2019-010664694-001;POLICIA MILITAR
2019-010673667-001;POLICIA MILITAR
2019-010751767-001;POLICIA MILITAR
2019-010774811-001;POLICIA MILITAR
2019-010805660-001;POLICIA CIVIL
2019-010796837-001;POLICIA MILITAR
2019-010804023-001;POLICIA MILITAR
2019-010832124-001;POLICIA MILITAR
2019-010836530-001;POLICIA MILITAR
2019-010874006-001;POLICIA CIVIL
2019-010903642-001;POLICIA MILITAR
2019-011488735-001;POLICIA CIVIL
2019-011903380-001;POLICIA CIVIL
2019-013008414-001;POLICIA MILITAR
2019-015332790-001;POLICIA CIVIL
2019-010985225-001;POLICIA MILITAR
2019-010990297-001;POLICIA MILITAR
2019-011026647-001;POLICIA MILITAR
2019-011065330-001;POLICIA MILITAR
2019-011066062-001;POLICIA MILITAR
2019-011081108-001;POLICIA MILITAR
2019-011093262-001;POLICIA MILITAR
2019-011261021-001;POLICIA CIVIL
2019-011725270-001;POLICIA CIVIL
2019-012122486-001;POLICIA CIVIL
2019-011123505-001;POLICIA MILITAR
2019-011145232-001;POLICIA MILITAR
2019-011174011-001;POLICIA MILITAR
2019-011196275-001;POLICIA MILITAR
2019-011218706-001;POLICIA MILITAR
2019-011220198-001;POLICIA MILITAR
2019-011270715-001;POLICIA CIVIL
2019-011298177-001;POLICIA CIVIL
2019-011316785-001;POLICIA CIVIL
2019-011481655-001;POLICIA CIVIL
2019-011266457-001;POLICIA MILITAR
2019-011294050-001;POLICIA MILITAR
2019-011303156-001;POLICIA MILITAR
2019-011341447-001;POLICIA MILITAR
2019-011350959-001;POLICIA MILITAR
2019-011353599-001;POLICIA CIVIL
2019-011422960-001;POLICIA MILITAR
2019-011920976-001;POLICIA MILITAR
2019-012562442-001;POLICIA CIVIL
2019-011464190-001;POLICIA MILITAR
2019-011492549-001;POLICIA MILITAR
2019-011533562-001;POLICIA MILITAR
2019-011540313-001;POLICIA MILITAR
2019-011584395-001;POLICIA MILITAR
2019-011615645-001;POLICIA MILITAR
2019-011667169-001;POLICIA CIVIL
2019-011851510-001;POLICIA CIVIL
2019-012700550-001;POLICIA MILITAR
2019-011679856-001;POLICIA MILITAR
2019-011726773-001;POLICIA MILITAR
2019-011729723-001;POLICIA MILITAR
2019-011742945-001;POLICIA MILITAR
2019-011779893-001;POLICIA MILITAR
2019-011797083-001;POLICIA MILITAR
2019-011901863-001;POLICIA CIVIL
2019-011832883-001;POLICIA MILITAR
2019-011845120-001;POLICIA MILITAR
2019-011880669-001;POLICIA MILITAR
2019-011937685-001;POLICIA MILITAR
2019-011947546-001;POLICIA MILITAR
2019-011948945-001;POLICIA MILITAR
2019-012017186-001;POLICIA MILITAR
2019-012024920-001;POLICIA MILITAR
2019-012059581-001;POLICIA MILITAR
2019-012069756-001;POLICIA MILITAR
2019-012137694-001;POLICIA MILITAR
2019-012147884-001;POLICIA MILITAR
2019-012152911-001;POLICIA MILITAR
2019-012173083-001;POLICIA MILITAR
2019-012186120-001;POLICIA MILITAR
2019-012500271-001;POLICIA CIVIL
2019-012517056-001;POLICIA CIVIL
2019-012212580-001;POLICIA MILITAR
2019-012246334-001;POLICIA MILITAR
2019-012322422-001;POLICIA MILITAR
2019-012514221-001;POLICIA CIVIL
2019-013262951-001;POLICIA CIVIL
2019-012356258-001;POLICIA MILITAR
2019-012361971-001;POLICIA MILITAR
2019-012416159-001;POLICIA MILITAR
2019-012426414-001;POLICIA MILITAR
2019-012435365-001;POLICIA MILITAR
2019-012440117-001;POLICIA MILITAR
2019-012457967-001;POLICIA MILITAR
2019-012493945-001;POLICIA CIVIL
2019-012512865-001;POLICIA CIVIL
2019-012481217-001;POLICIA MILITAR
2019-012493839-001;POLICIA MILITAR
2019-012508763-001;POLICIA CIVIL
2019-012540258-001;POLICIA MILITAR
2019-012649872-001;POLICIA MILITAR
2019-012905568-001;POLICIA CIVIL
2019-012686030-001;POLICIA MILITAR
2019-012729157-001;POLICIA MILITAR
2019-012769932-001;POLICIA CIVIL
2019-012777352-001;POLICIA MILITAR
2019-012799036-001;POLICIA MILITAR
2019-012820676-001;POLICIA MILITAR
2019-012826751-001;POLICIA MILITAR
2019-012899688-001;POLICIA MILITAR
2019-012938802-001;POLICIA CIVIL
2019-013083324-001;POLICIA CIVIL
2019-013113467-001;POLICIA CIVIL
2019-014479407-001;POLICIA CIVIL
2019-012904457-001;POLICIA MILITAR
2019-012905871-001;POLICIA MILITAR
2019-012923319-001;POLICIA MILITAR
2019-012965636-001;POLICIA CIVIL
2019-012971568-001;POLICIA MILITAR
2019-012982399-001;POLICIA MILITAR
2019-013029500-001;POLICIA MILITAR
2019-013060163-001;POLICIA MILITAR
2019-013055120-001;POLICIA CIVIL
2019-013060410-001;POLICIA CIVIL
2019-013074310-001;POLICIA MILITAR
2019-013074364-001;POLICIA MILITAR
2019-013080192-001;POLICIA MILITAR
2019-013119480-001;POLICIA MILITAR
2019-013141542-001;POLICIA CIVIL
2019-013152906-001;POLICIA MILITAR
2019-013156631-001;POLICIA MILITAR
2019-013162250-001;POLICIA MILITAR
2019-013187842-001;POLICIA MILITAR
2019-013192137-001;POLICIA MILITAR
2019-013194597-001;POLICIA MILITAR
2019-013198645-001;POLICIA MILITAR
2019-013203217-001;POLICIA MILITAR
2019-013755269-001;POLICIA CIVIL
2019-013252473-001;POLICIA MILITAR
2019-013260140-001;POLICIA MILITAR
2019-013288605-001;POLICIA MILITAR
2019-013290736-001;POLICIA MILITAR
2019-013308861-001;POLICIA MILITAR
2019-013341244-001;POLICIA MILITAR
2019-013356528-001;POLICIA MILITAR
2019-013358029-001;POLICIA MILITAR
2019-013374376-001;POLICIA MILITAR
2019-013698885-001;POLICIA CIVIL
2019-017789078-001;POLICIA CIVIL
2019-023928241-001;POLICIA CIVIL
2019-013426440-001;POLICIA MILITAR
2019-013448151-001;POLICIA MILITAR
2019-013701131-001;POLICIA CIVIL
2019-015199371-001;POLICIA CIVIL
2019-013716051-001;POLICIA CIVIL
2019-013824251-001;POLICIA MILITAR
2019-013973025-001;POLICIA CIVIL
2019-013712116-001;POLICIA MILITAR
2019-013843925-001;POLICIA MILITAR
2019-013847228-001;POLICIA MILITAR
2019-013853097-002;POLICIA CIVIL
2019-014287833-001;POLICIA CIVIL
2019-015525706-001;POLICIA CIVIL
2019-019102592-001;POLICIA CIVIL
2019-013879790-001;POLICIA MILITAR
2019-013889322-001;POLICIA MILITAR
2019-014017529-001;POLICIA MILITAR
2019-014033051-001;POLICIA MILITAR
2019-014051718-001;POLICIA MILITAR
2019-014060082-001;POLICIA MILITAR
2019-014518280-001;POLICIA MILITAR
2019-014148570-001;POLICIA MILITAR
2019-014209904-001;POLICIA MILITAR
2019-014296113-001;POLICIA CIVIL
2019-014283731-001;POLICIA MILITAR
2019-015185290-001;POLICIA CIVIL
2019-014456130-001;POLICIA MILITAR
2019-014495770-001;POLICIA MILITAR
2019-014581290-001;POLICIA MILITAR
2019-014618415-001;POLICIA MILITAR
2019-024791086-001;POLICIA CIVIL
2019-026790004-001;POLICIA CIVIL
2019-014667277-001;POLICIA MILITAR
2019-014692149-001;POLICIA MILITAR
2019-015190013-001;POLICIA CIVIL
2019-015200220-001;POLICIA CIVIL
2019-015202442-001;POLICIA MILITAR
2019-014805030-001;POLICIA MILITAR
2019-014818026-001;POLICIA MILITAR
2019-014844444-001;POLICIA MILITAR
2019-014856596-001;POLICIA MILITAR
2019-015382392-001;POLICIA CIVIL
2019-014951232-001;POLICIA MILITAR
2019-014956592-001;POLICIA MILITAR
2019-014956902-001;POLICIA MILITAR
2019-015008014-001;POLICIA CIVIL
2019-015017028-001;POLICIA MILITAR
2019-015021540-001;POLICIA CIVIL
2019-015113656-001;POLICIA MILITAR
2019-015154609-001;POLICIA CIVIL
2019-015523356-001;POLICIA CIVIL
2019-016267902-001;POLICIA MILITAR
2019-018847973-001;POLICIA CIVIL
2019-015131069-001;POLICIA MILITAR
2019-015154940-001;POLICIA CIVIL
2019-015163430-001;POLICIA CIVIL
2019-015172130-001;POLICIA MILITAR
2019-015184072-001;POLICIA MILITAR
2019-015185760-001;POLICIA MILITAR
2019-015194102-001;POLICIA MILITAR
2019-015195360-001;POLICIA CIVIL
2019-015231758-001;POLICIA MILITAR
2019-015244274-001;POLICIA MILITAR
2019-015257730-001;POLICIA MILITAR
2019-015272741-001;POLICIA MILITAR
2019-015527289-001;POLICIA CIVIL
2019-015782266-001;POLICIA CIVIL
2019-016796711-001;POLICIA CIVIL
2019-019270689-001;POLICIA CIVIL
2019-015428550-001;POLICIA MILITAR
2019-015435577-001;POLICIA MILITAR
2019-015452063-001;POLICIA MILITAR
2019-015460921-001;POLICIA MILITAR
2019-015468222-001;POLICIA MILITAR
2019-015474665-001;POLICIA MILITAR
2019-015767650-001;POLICIA MILITAR
2019-015507808-001;POLICIA MILITAR
2019-015517192-001;POLICIA MILITAR
2019-015573970-001;POLICIA MILITAR
2019-015576119-001;POLICIA MILITAR
2019-015610851-001;POLICIA MILITAR
2019-015612640-001;POLICIA MILITAR
2019-015623196-001;POLICIA MILITAR
2019-015720327-001;POLICIA CIVIL
2019-016952231-001;POLICIA CIVIL
2019-015749658-001;POLICIA MILITAR
2019-015781772-001;POLICIA MILITAR
2019-016241265-001;POLICIA CIVIL
2019-017022053-001;POLICIA CIVIL
2019-015875680-001;POLICIA MILITAR
2019-015914470-001;POLICIA MILITAR
